SIGLA,lat,lon,totale_casi
AG,37.3097109,13.5845749,27
AL,44.9129735,8.615401155,374
AN,43.6167597,13.5188753,447
AO,45.7375029,7.320149366,215
AP,42.8532230,13.57691127,27
AQ,42.3512220,13.39843823,25
AR,43.4664275,11.88228844,113
AT,44.8991292,8.204142547,101
AV,40.9140470,14.79528803,88
BA,41.1255958,16.86736689,137
BG,45.6944137,9.668424528,4645
BI,45.5665112,8.054082167,109
BL,46.1383753,12.21704167,150
BN,41.1296999,14.78151683,8
BO,44.4943668,11.3417208,465
BR,40.6384855,17.94601575,75
BS,45.5399305,10.21910323,4247
BT,41.2270504,16.29520432,26
BZ,46.4993345,11.35662422,436
CA,39.2153119,9.110616306,41
CB,41.5577475,14.65916051,33
CE,41.0746588,14.33240464,94
CH,42.3510317,14.16754574,69
CL,37.4921317,14.06184973,12
CN,44.3932963,7.551171632,149
CO,45.8099912,9.085159546,338
CR,45.1333668,10.02420865,2286
CS,39.2930868,16.25609692,38
CT,37.5028780,15.08704691,151
CZ,38.9059760,16.59440194,27
EN,37.5670570,14.27909375,21
FC,44.2226856,12.04068608,227
FE,44.8359909,11.61868934,78
FG,41.4622687,15.54305094,134
FI,43.7692308,11.25588885,349
FM,43.1605853,13.71839535,68
FR,41.6396457,13.35117161,48
GE,44.4114931,8.9326992,488
GO,45.9414982,13.62212502,28
GR,42.7602676,11.11356398,89
IM,43.8857065,8.027850298,117
IS,41.5880083,14.22575407,4
KR,39.0803688,17.12538864,39
LC,45.8557578,9.393392246,530
LE,40.3535429,18.1718973,71
LI,43.5523487,10.3086781,62
LO,45.3144069,9.503720769,1528
LT,41.4675947,12.90368482,23
LU,43.8443228,10.50151366,230
MB,45.5843904,9.273582472,495
MC,43.3002393,13.45307182,186
ME,38.1939585,15.55572302,16
MI,45.4667941,9.190347404,3278
MN,45.1572677,10.79277363,636
MO,44.6460001,10.92615487,663
MS,44.0367443,10.14173829,200
MT,40.6675118,16.59792442,7
NA,40.8395656,14.25084984,358
NO,45.4458851,8.621915884,190
NU,40.3231883,9.330296393,21
OR,39.9038108,8.591183151,3
PA,38.1156973,13.3623567,52
PC,45.0519346,9.692632596,1428
PD,45.4069299,11.87608718,924
PE,42.4645840,14.21364822,223
PG,43.1067584,12.38824698,236
PI,43.7155321,10.40127259,146
PN,45.9544355,12.66002909,97
PO,43.8806227,11.09703315,70
PR,44.8010739,10.32834985,869
PT,43.9334650,10.91734146,145
PU,43.9101402,12.91345989,983
PV,45.1850926,9.160157191,1011
PZ,40.6394705,15.80514834,30
RA,44.4172249,12.19913936,185
RC,38.1092277,15.6434527,57
RE,44.6973529,10.63007973,608
RG,36.9250920,14.73069891,7
RI,42.4048844,12.86205939,18
RM,41.8927704,12.48366722,678
RN,44.0609009,12.5656295,691
RO,45.0710729,11.79007,52
SA,40.6782196,14.7594026,92
SI,43.3181637,11.33190988,78
SO,46.1709926,9.87147489,155
SP,44.1070499,9.8281897,88
SR,37.0599169,15.29333182,33
SS,40.7266766,8.559667131,134
SU,39.1664146,8.526242676,7
SV,44.3075046,8.481108654,131
TA,40.4735474,17.23237181,23
TE,42.6589177,13.70439971,68
TN,46.0689351,11.12123097,523
TO,45.0732745,7.680687483,1042
TP,38.0185007,12.51365684,21
TR,42.5607126,12.6466875,84
TS,45.6494354,13.76813649,208
TV,45.6675457,12.24507363,637
UD,46.0625552,13.2348383,266
VA,45.8170168,8.822868344,310
VB,45.9214455,8.551078753,89
VC,45.3239814,8.423234312,131
VE,45.4349049,12.33845213,475
VI,45.5474970,11.54597109,424
VR,45.4383905,10.99352685,686
VT,42.4173828,12.10473416,50
VV,38.6762415,16.10157414,8
