,denominazione_regione,,,43885,43886,43887,43888,43889,43890,43891,43892,43893,43894,43895,43896,43897,43898,43899,43900,43901,43902,43903,43904,43905,43906,43907,43908,43909,43910,43911,43912,43913,43914,43915,43916,43917,43918,43919,43920,43921,43922,43923,43924,43925,43926,43927,43928,43929,43930,43931,43932,43933,43934,43935,43936,43937,43938,43939
1,Abruzzo,42.35122196,13.39843823,0,0,0,1,1,2,5,5,6,7,8,9,11,17,30,37,37,78,83,106,128,165,216,249,366,422,494,539,605,622,738,860,925,1027,1169,1169,1191,1211,1251,1301,1356,1420,1425,1491,1534,1566,1635,1724,1742,1778,1800,1810,1850,1942,1971
2,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,1,1,1,3,3,4,5,7,8,8,10,10,11,12,20,27,37,52,66,81,89,91,112,133,147,178,197,208,216,225,233,247,244,254,262,265,270,275,279,281,277,270,265,261,273,266,262
3,Calabria,38.90597598,16.59440194,0,0,0,0,1,1,1,1,1,1,2,4,4,9,9,11,17,32,37,59,66,87,112,126,164,201,225,260,280,304,333,372,469,523,577,602,606,610,627,662,662,706,722,733,755,765,786,792,795,791,816,819,847,819,832
4,Campania,40.83956555,14.25084984,0,0,0,3,4,13,17,17,30,31,45,57,61,100,119,126,149,174,213,243,296,363,423,423,605,702,793,866,929,992,1072,1169,1292,1407,1556,1739,1871,1976,2140,2352,2496,2621,2698,2765,2859,2873,2963,3002,3057,3062,3094,3087,3118,3027,3045
5,Emilia-Romagna,44.49436681,11.3417208,18,26,46,96,143,213,277,324,398,516,658,816,937,1097,1286,1417,1588,1758,2011,2349,2741,3088,3404,3915,4506,5089,5661,6390,7220,7711,8256,8850,9361,9964,10535,10766,10953,11489,11859,12178,12523,12837,13051,13048,13110,13258,13350,13495,13672,13818,13778,13577,13663,13585,13584
6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,0,0,0,6,9,13,18,21,28,39,53,89,110,110,148,236,271,316,346,347,416,522,555,666,738,771,848,911,954,1027,1120,1141,1109,1160,1206,1294,1324,1336,1363,1396,1379,1415,1390,1398,1382,1326,1307,899,1394,1330,1428,1403
7,Lazio,41.89277044,12.48366722,2,2,0,0,0,3,3,4,11,27,41,50,72,81,94,99,125,172,242,320,396,472,550,650,741,912,1086,1272,1414,1545,1675,1835,2013,2181,2362,2497,2642,2758,2879,3009,3106,3186,3300,3365,3448,3532,3633,3730,3817,3920,4022,4047,4144,4214,4282
8,Liguria,44.41149315,8.9326992,0,1,11,19,19,38,21,18,19,21,21,24,42,67,97,128,181,243,304,384,493,575,661,744,883,1001,1159,1351,1553,1692,1826,2027,2060,2086,2279,2383,2508,2645,2660,2746,2894,3093,3117,3212,3245,3253,3301,3333,3333,3365,3466,3464,3437,3459,3412
9,Lombardia,45.46679409,9.190347404,166,231,249,349,474,552,887,1077,1326,1497,1777,2008,2742,3372,4490,4427,5763,6896,7732,9059,10043,10861,12095,12266,13938,15420,17370,17885,18910,19868,20591,22189,23895,24509,25392,25006,25124,25765,25876,26189,27220,28124,28469,28343,28545,29074,29530,30258,31265,31935,32363,32921,33090,33434,34195
10,Marche,43.61675973,13.5188753,0,0,1,3,6,11,25,34,59,80,120,155,201,265,313,381,461,570,698,863,1087,1185,1302,1476,1622,1844,1997,2231,2358,2497,2639,2795,2850,2999,3160,3251,3352,3456,3555,3631,3497,3578,3706,3738,3562,3401,3316,3231,3114,3080,3095,3097,3124,3157,3172
11,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,3,3,7,12,14,14,14,15,16,16,17,17,17,15,19,21,38,39,47,52,50,55,53,81,86,98,100,107,117,131,133,144,171,187,187,185,181,189,193,193,202,202,200,206,203,208,209
12,P.A. Bolzano,46.49933453,11.35662422,0,1,1,1,1,1,1,1,1,1,1,4,9,9,9,38,75,103,123,170,199,235,282,366,421,530,600,648,688,699,748,791,833,929,1034,1098,1142,1112,1160,1209,1201,1226,1260,1301,1281,1315,1317,1269,1515,1537,1564,1576,1593,1582,1556
13,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,4,5,7,10,14,23,33,50,74,102,157,199,367,367,368,436,491,600,720,885,914,975,1058,1094,1164,1234,1293,1357,1389,1483,1587,1659,1753,1795,1838,1890,1940,1978,1994,2064,2082,2080,2082,2104,2087,1990,1985
14,Piemonte,45.0732745,7.680687483,3,3,3,2,11,11,49,51,56,82,106,139,202,355,337,436,480,554,794,814,1030,1405,1764,2187,2754,3244,3506,4127,4529,5124,5556,5950,6347,6851,7268,7655,8082,8470,8799,9130,9693,10177,10545,10704,10989,11336,11576,12170,12505,12765,13055,13195,13783,13998,14223
15,Puglia,41.12559576,16.86736689,0,0,0,1,3,3,3,4,6,7,12,15,23,36,46,55,71,98,121,156,212,212,320,362,449,551,642,748,862,940,1023,1095,1236,1358,1432,1585,1654,1756,1864,1949,1973,2022,2115,2137,2238,2301,2336,2402,2452,2512,2552,2573,2625,2656,2694
16,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,1,2,2,5,5,11,19,20,37,39,43,47,75,105,115,132,204,288,321,327,343,395,412,462,496,569,582,622,657,675,718,744,789,815,819,821,840,876,876,888,903,914,900,870,865,872,881
17,Sicilia,38.11569725,13.3623567,0,3,3,2,2,2,7,5,5,16,16,22,33,51,52,60,81,111,126,150,179,203,226,267,321,379,458,596,681,799,936,1095,1158,1242,1330,1408,1492,1544,1606,1664,1726,1774,1815,1859,1893,1942,1967,2001,2030,2050,2071,2081,2108,2139,2171
18,Toscana,43.76923077,11.25588885,0,2,2,2,7,10,12,12,18,37,60,78,112,165,206,260,314,352,455,614,763,841,1024,1291,1422,1713,1905,2144,2301,2519,2776,2973,3170,3511,3786,4050,4226,4432,4789,4909,5054,5185,5301,5427,5557,5703,5822,5992,6162,6257,6352,6417,6613,6583,6470
19,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,2,2,8,9,9,16,24,26,28,37,44,62,73,103,139,159,192,241,328,384,447,500,556,624,686,770,824,898,897,834,851,864,885,920,927,898,872,846,823,792,752,723,687,625,622,582,536,494,431
20,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,2,7,8,9,15,17,19,26,27,41,56,103,134,162,209,257,304,354,379,379,375,378,413,468,539,518,552,540,556,560,560,576,567,593,606,609,602,590,588,582,559,548,518,491,549
21,Veneto,45.43490485,12.33845213,32,42,69,109,149,189,261,271,297,345,380,454,505,623,694,783,940,1297,1453,1775,1989,2274,2488,2953,3169,3677,4214,4644,4986,5351,5745,6140,6648,6913,7251,7564,7850,8224,8578,8861,9093,9409,9722,9965,10171,10449,10647,10749,10729,10766,10736,10789,10800,10618,10444
